단어,난이도,설명,생성일
사전컨설팅,3,정식으로 일을 시작하기 전에 전문가에게 미리 물어보고 도움을 받는 과정이에요.,2026-03-11
용역,3,나라나 기관이 돈을 주고 전문가에게 특정한 조사나 연구를 시키는 일을 말해요.,2026-03-11
사업타당성,3,"어떤 일을 시작하기 전에 그 일이 실제로 가능한지, 돈을 들인 만큼 효과가 있을지 미리 따져보는 거예요.",2026-03-11
분담금,3,사업을 하는 데 필요한 전체 비용 중에서 각자가 나누어 내야 하는 돈이에요.,2026-03-11
노후계획도시,3,지어진 지 오래되어 시설이 낡은 신도시 지역을 말해요.,2026-03-11
특별정비구역,3,낡은 도시를 새롭게 바꾸기 위해 나라에서 특별히 정해놓은 구역이에요.,2026-03-11
기반시설,3,"도로, 공원, 상하수도처럼 우리가 편리하게 생활하기 위해 꼭 필요한 공공 시설을 말해요.",2026-03-11
자족용지,3,사람들이 동네 안에서 일도 하고 돈도 벌 수 있도록 공장이나 회사를 짓기 위해 따로 빼놓은 땅이에요.,2026-03-11
공공기여,3,건물을 짓는 사람이 마을 사람들을 위해 공원이나 도서관 같은 시설을 만들어 주는 것을 말해요.,2026-03-11
토지등소유자,3,그 땅이나 건물을 실제로 가지고 있는 주인을 법적으로 부르는 말이에요.,2026-03-11
산술평균,3,여러 숫자를 모두 더한 다음 그 개수만큼 나누어 중간 값을 구하는 계산 방법이에요.,2026-03-11
징구,4,행정 기관이 필요한 서류나 돈을 내라고 요구해서 받는 것을 말해요.,2026-03-11
기부채납,4,"내 땅이나 건물의 일부를 나라에 공짜로 주는 대신, 건물을 더 높게 지을 수 있는 허락을 받는 거예요.",2026-03-11
용적률,3,땅 크기에 비해 건물을 얼마나 높고 넓게 위로 쌓아 올릴 수 있는지 나타내는 비율이에요.,2026-03-11
건폐율,3,내 땅 중에서 건물이 바닥을 차지하는 넓이가 어느 정도인지를 나타내는 비율이에요.,2026-03-11
전유부,4,"아파트에서 복도나 엘리베이터처럼 같이 쓰는 곳 말고, 우리 가족만 사용하는 집 안 공간을 말해요.",2026-03-11
공유자,3,하나의 땅이나 건물을 여러 사람이 함께 나누어 가지고 있는 주인을 말해요.,2026-03-11
날인,4,서류가 진짜라는 것을 확인하기 위해 도장을 찍는 일을 말해요.,2026-03-11
준공연도,3,건물을 다 지어서 사람들이 실제로 들어가 살 수 있게 된 해를 말해요.,2026-03-11
발의,4,새로운 법을 만들거나 수정하기 위해 의견을 정식으로 내놓는 것을 말해요.,2026-03-11
