단어,난이도,쉬운표현,카테고리
신청,1,,일반
제출,1,,일반
안내,1,,일반
확인,1,,일반
신고,1,,일반
등록,1,,일반
발급,1,,일반
변경,1,,일반
취소,1,,일반
문의,1,,일반
접수,1,,일반
처리,1,,일반
완료,1,,일반
보관,1,,일반
전화,1,,일반
주소,1,,일반
이름,1,,일반
날짜,1,,일반
금액,1,,일반
서류,1,,일반
작성,1,,일반
방문,1,,일반
예약,1,,일반
결제,1,,일반
환불,1,,일반
배송,1,,일반
수령,1,,일반
반납,1,,일반
대출,1,,일반
저축,1,,일반
입금,1,,일반
출금,1,,일반
이체,1,,일반
계좌,1,,일반
비밀번호,1,,일반
회원,1,,일반
가입,1,,일반
탈퇴,1,,일반
로그인,1,,일반
검색,1,,일반
목록,1,,일반
내용,1,,일반
설명,1,,일반
질문,1,,일반
답변,1,,일반
요청,1,,일반
승인,1,,일반
거절,1,,일반
동의,1,,일반
선택,1,,일반
입력,1,,일반
출력,1,,일반
저장,1,,일반
삭제,1,,일반
수정,1,,일반
추가,1,,일반
제거,1,,일반
시작,1,,일반
종료,1,,일반
진행,1,,일반
대기,1,,일반
연락,1,,일반
통보,1,,일반
알림,1,,일반
메시지,1,,일반
이메일,1,,일반
팩스,1,,일반
우편,1,,일반
택배,1,,일반
포장,1,,일반
무게,1,,일반
크기,1,,일반
색상,1,,일반
종류,1,,일반
수량,1,,일반
가격,1,,일반
할인,1,,일반
쿠폰,1,,일반
적립,1,,일반
포인트,1,,일반
현금,1,,일반
카드,1,,일반
영수증,1,,일반
청구서,1,,일반
납부,1,,일반
미납,1,,일반
연체,1,,일반
이자,1,,일반
원금,1,,일반
잔액,1,,일반
한도,1,,일반
기간,1,,일반
만료,1,,일반
갱신,1,,일반
연장,1,,일반
단축,1,,일반
휴일,1,,일반
평일,1,,일반
주말,1,,일반
오전,1,,일반
오후,1,,일반
야간,1,,일반
신청서,2,,행정
증명서,2,,행정
허가증,2,,행정
등록증,2,,행정
신분증,2,,행정
거주지,2,사는 곳,행정
세대주,2,집안의 대표,행정
전입,2,이사 들어옴,행정
전출,2,이사 나감,행정
민원,2,국민의 요청,행정
담당자,2,,행정
기한,2,마감 날짜,행정
유효기간,2,쓸 수 있는 기간,행정
수수료,2,처리 비용,행정
구비서류,2,준비할 서류,행정
본인,2,나 자신,행정
대리인,2,대신하는 사람,행정
위임장,2,대신 맡기는 문서,행정
사본,2,복사본,행정
원본,2,진짜 서류,행정
인감,2,도장,행정
날인,2,도장 찍기,행정
서명,2,사인,행정
주민등록,2,,행정
가족관계,2,,행정
혼인신고,2,결혼 신고,행정
출생신고,2,태어남 신고,행정
사망신고,2,죽음 신고,행정
전입신고,2,이사 신고,행정
병역,2,군대 의무,행정
납세,2,세금 내기,행정
소득,2,버는 돈,행정
지출,2,쓰는 돈,행정
재산,2,가진 것,행정
부동산,2,땅과 건물,행정
동산,2,움직일 수 있는 재산,행정
임대,2,빌려줌,행정
임차,2,빌림,행정
보증금,2,맡기는 돈,행정
월세,2,매달 내는 집값,행정
전세,2,목돈 맡기고 사는 것,행정
매매,2,사고 팖,행정
계약,2,약속 문서,행정
해지,2,계약 끝냄,행정
위약금,2,약속 어김 벌금,행정
손해배상,2,피해 보상,행정
면허,2,자격 허가,행정
자격증,2,,행정
시험,2,,행정
합격,2,,행정
불합격,2,,행정
응시,2,시험 봄,행정
원서,2,지원 서류,행정
접수증,2,,행정
수험표,2,시험표,행정
성적표,2,,행정
졸업장,2,,행정
학위,2,,행정
전공,2,,행정
학과,2,,행정
학번,2,,행정
재학,2,학교 다님,행정
휴학,2,학교 쉼,행정
복학,2,학교 돌아옴,행정
자퇴,2,스스로 그만둠,행정
제적,2,강제 퇴학,행정
편입,2,옮겨 들어감,행정
장학금,2,,행정
등록금,2,학비,행정
수강,2,강의 들음,행정
이수,2,과목 마침,행정
학점,2,,행정
평점,2,평균 점수,행정
출석,2,,행정
결석,2,,행정
지각,2,,행정
조퇴,2,일찍 감,행정
공결,2,인정 결석,행정
보험,2,,행정
가입자,2,,행정
피보험자,2,보험 대상자,행정
수익자,2,돈 받는 사람,행정
보험료,2,,행정
보험금,2,,행정
청구,2,달라고 함,행정
지급,2,줌,행정
환급,2,돌려줌,행정
공제,2,빼기,행정
감면,2,줄여줌,행정
면제,2,안 내도 됨,행정
유예,2,미룸,행정
분납,2,나눠 냄,행정
일시납,2,한번에 냄,행정
연납,2,1년치 냄,행정
월납,2,매달 냄,행정
자동이체,2,,행정
행정기관,3,정부나 관공서,행정
지방자치단체,3,시청/구청/군청,행정
관할,3,담당 구역,행정
소관,3,담당하는 범위,행정
시행령,3,법을 실행하는 규칙,법률
시행규칙,3,시행령의 세부 규칙,법률
조례,3,지역의 규칙,법률
규정,3,정해진 규칙,법률
고시,3,공식 알림,행정
공고,3,공개 알림,행정
통지,3,알려줌,행정
촉구,3,강하게 요청함,행정
권고,3,권하여 알림,행정
의무,3,반드시 해야 함,법률
권리,3,할 수 있는 자격,법률
자격요건,3,필요한 조건,행정
구비요건,3,갖춰야 할 조건,행정
절차,3,처리 순서,행정
