단어,비고
사람,일반 명사
나라,일반 명사
경우,일반 명사
사회,일반 명사
문제,일반 명사
생각,일반 명사
방법,일반 명사
내용,일반 명사
정도,일반 명사
결과,일반 명사
의견,일반 명사
기준,일반 명사
상황,일반 명사
필요,일반 명사
방향,일반 명사
과정,일반 명사
목적,일반 명사
중심,일반 명사
대상,일반 명사
기간,일반 명사
현재,일반 명사
이후,일반 명사
이전,일반 명사
관련,일반 명사
활동,일반 명사
운영,일반 명사
관리,일반 명사
추진,일반 명사
진행,일반 명사
실시,일반 명사
제공,일반 명사
지원,일반 명사
확인,일반 명사
검토,일반 명사
검사,일반 명사
조사,일반 명사
분석,일반 명사
설명,일반 명사
발표,일반 명사
제출,일반 명사
작성,일반 명사
수행,일반 명사
결정,일반 명사
판단,일반 명사
선택,일반 명사
준비,일반 명사
계획,일반 명사
실행,일반 명사
완료,일반 명사
확대,일반 명사
특별,기타
고양시,고유명사
일산신도시,고유명사
다소,형태소
홍길동,예제
김경기,예제
장점,일반 명사
단점,일반 명사
고양시,고유명사
